"latitude","longitude","altitude","geometry","coordinates","name","description","_umap_options","code","nom"
"4.888713","-52.332462",,"Point",,"MATOURY","<b>9 heures</b> Family Plaza",,,
"50.279639","3.967465",,"Point",,"MAUBEUGE","<b>9 heures 30</b> Place de l’Hôtel de Ville",,,
"48.29199","-0.61056",,"Point",,"MAYENNE","<b>11 heures</b> Rond-point de Lactalis",,,
"48.95571","2.88743",,"Point",,"MEAUX","<b>9 heures 30</b> Place de l’Hôtel de Ville","MediumBlue",1,
"48.53936","2.66233",,"Point",,"MELUN","<b>9 heures 30</b> Place Saint-Jean","MediumBlue",,
"44.51733","3.49738",,"Point",,"MENDE","<b>10 heures 30</b> Place Urbain V","CornflowerBlue",1,
"49.114849","6.171264",,"Point",,"METZ","<b>14 heures</b> Devant l’Arsenal","CornflowerBlue",1,
"44.102341","3.074917",,"Point",,"MILLAU","<b>10 heures 30</b> Gare SNCF","CornflowerBlue",,
"46.674324","4.362608",,"Point",,"MONCEAU-LES-MINES","<b>14 heures 30</b> Place de la Mairie","DarkTurquoise",1,
"43.886016","-0.503204",,"Point",,"MONT-DE-MARSAN","<b>10 heures</b>
Arènes","DarkTurquoise",1,
"48.00105","2.731433",,"Point",,"MONTARGIS","<b>10 heures 30</b> Place du Pâtis","CornflowerBlue",1,
"44.018113","1.357155",,"Point",,"MONTAUBAN","<b>14 heures 30</b> Esplanade des Fontaines","CornflowerBlue",1,
"47.621232","4.336075",,"Point",,"MONTBARD","<b>15 heures</b> Place Gambetta","DarkTurquoise",1,
"47.500431","6.811395",,"Point",,"MONTBÉLIARD","<b>14 heures 30</b> Champ de Foire","DarkTurquoise",1,
"44.556619","4.747726",,"Point",,"MONTÉLIMAR","<b>14 heures</b> Théâtre",,1,
"46.346909","2.598229",,"Point",,"MONTLUÇON","<b>14 heures 30</b> Place Jean Dormoy",,1,
"48.871433","3.556459",,"Point",,"MONTMIRAIL","<b>15 heures</b>
Route de Châlons Axon’ Cable","CornflowerBlue",1,
"46.427346","0.873488",,"Point",,"MONTMORILLON","<b>10 heures</b> Place de la Victoire","DarkTurquoise",1,
"43.604182","3.895184",,"Point",,"MONTPELLIER","<b>14 heures</b> Rives du Lez","CornflowerBlue",1,
"47.69517","0.41805",,"Point",,"MONTVAL-SUR-LOIR","<b>13 heures 30</b> Place de l’Hôtel de Ville",,,
"48.578138","-3.828688",,"Point",,"MORLAIX","<b>14 heures</b> Place des Otages","CornflowerBlue",1,
"48.520452","0.545846",,"Point",,"MORTAGNE-AU-PERCHE","<b>17 heures 30</b> Place de la Mairie","DarkTurquoise",1,
"46.562943","3.330697",,"Point",,"MOULINS","<b>14 heures 30</b> Place de la Liberté",,1,
"47.745045","7.342665",,"Point",,"MULHOUSE","<b>13 heures 30</b> Square de la Bourse","CornflowerBlue",1,
"43.45975","1.3256",,"Point",,"MURET","<b>15 heures</b> Allées Niel","CornflowerBlue",1,
"48.693779","6.177428",,"Point",,"NANCY","<b>14 heures</b> Place Carnot","CornflowerBlue",1,
"47.21505","-1.549029",,"Point",,"NANTES","<b>10 heures 30</b> Miroir d'eau",,1,
"43.185798","3.001279",,"Point",,"NARBONNE","<b>14 heures 30</b> Médiathèque","CornflowerBlue",1,
"48.26277","2.71250",,"Point",,"NEMOURS","<b>9 heures 30</b> Lycée Étienne Bezout","MediumBlue",,
"46.986181","3.160356",,"Point",,"NEVERS","<b>10 heures</b> Bourse du Travail","DarkTurquoise",1,
"43.697138","7.270401",,"Point",,"NICE","<b>10 heures</b> Place Masséna","DarkTurquoise",1,
"43.839573","4.349642",,"Point",,"NÎMES","<b>14 heures 30</b> Jardins de la Fontaine – Avenue Jean Jaurès","CornflowerBlue",1,
"46.323016","-0.458604",,"Point",,"NIORT","<b>14 heures</b> Place de la Brèche","DarkTurquoise",1,
"48.31791","0.82",,"Point",,"NOGENT-LE-ROTROU","<b>11 heures</b> Centre culturel Mendes-France","CornflowerBlue",,
"44.3601","5.1308",,"Point",,"NYONS","<b>10 heures</b> Sous-Préfecture",,1,
"47.90147","1.909829",,"Point",,"ORLÉANS","<b>10 heures</b> Cathédrale","CornflowerBlue",1,
"46.26120","5.64846",,"Point",,"OYONNAX","<b>9 heures 30</b> Valexpo",,,
"43.11594","1.61063",,"Point",,"PAMIERS","<b>10 heures 30</b> Place de la République","CornflowerBlue",,
"-17.54517","-149.58085",,"Point",,"PAPEETE","<b>9 heures 30</b> Départ École To’ata",,,
"48.860685","2.313716",,"Point",,"PARIS","<b>14 heures</b> Invalides","Default",1,
"46.646961","-0.247659",,"Point",,"PARTHENAY","<b>16 heures</b> Place du Drapeau","DarkTurquoise",1,
"43.29862","-0.375166",,"Point",,"PAU","<b>10 heures 30</b> Place de Verdun","DarkTurquoise",1,
"45.18629","0.720849",,"Point",,"PÉRIGUEUX","<b>10 heures 30</b> Palais de Justice","DarkTurquoise",1,
"42.698426","2.887983",,"Point",,"PERPIGNAN","<b>10 heures 30</b> Place de Catalogne","CornflowerBlue",1,
"49.93001","2.9361",,"Point",,"PÉRONNE","<b>18 heures 30</b> Hôtel de ville",,,
"48.188815","2.248002",,"Point",,"PITHIVIERS","<b>10 heures 30</b> Rond-point Marie Curie","CornflowerBlue",1,
"47.929481","-2.396184",,"Point",,"PLOËRMEL","<b>11 heures</b> Place de l'Hôtel de Ville","CornflowerBlue",1,
"16.243544","-61.532434",,"Point",,"POINTE-À-PITRE","<b>9 heures</b> Palais de la mutualité",,,
"46.590345","0.340244",,"Point",,"POITIERS","<b>14 heures</b> Porte de Paris","DarkTurquoise",1,
"49.35574","0.517548",,"Point",,"PONT-AUDEMER","<b>10 heures</b> Place du Général de Gaulle ","DarkTurquoise",1,
"46.90413","6.35453",,"Point",,"PONTARLIER","<b>12 heures</b> Place d’Arçon","DarkTurquoise",1,
"48.065433","-2.966716",,"Point",,"PONTIVY","<b>10 heures</b> Place Aristide Briand","CornflowerBlue",1,
"41.59161","9.27909",,"Point",,"PORTO-VECCHIO","<b>10 heures</b> Mairie",,,
