"latitude","longitude","altitude","geometry","coordinates","name","dept","hour","description","_umap_options","code","nom"
"46.427346","0.873488",,"Point",,"MONTMORILLON","86","10 heures","Place de la Victoire","DarkTurquoise",1,
"43.604182","3.895184",,"Point",,"MONTPELLIER","34","14 heures","Rives du Lez","CornflowerBlue",1,
"47.69517","0.41805",,"Point",,"MONTVAL-SUR-LOIR","72","13 heures 30","Place de l’Hôtel de Ville","Default",,
"48.578138","-3.828688",,"Point",,"MORLAIX","29","14 heures","Place des Otages","CornflowerBlue",1,
"48.520452","0.545846",,"Point",,"MORTAGNE-AU-PERCHE","61","17 heures 30","Place de la Mairie","DarkTurquoise",1,
"46.562943","3.330697",,"Point",,"MOULINS","03","14 heures 30","Place de la Liberté","Default",1,
"47.745045","7.342665",,"Point",,"MULHOUSE","68","13 heures 30","Square de la Bourse","CornflowerBlue",1,
"43.45975","1.3256",,"Point",,"MURET","31","15 heures","Allées Niel","CornflowerBlue",1,
"48.693779","6.177428",,"Point",,"NANCY","54","14 heures","Place Carnot","CornflowerBlue",1,
"47.21505","-1.549029",,"Point",,"NANTES","44","10 heures 30","Miroir d'eau","Default",1,
"43.185798","3.001279",,"Point",,"NARBONNE","11","14 heures 30","Médiathèque","CornflowerBlue",1,
"48.26277","2.71250",,"Point",,"NEMOURS","77","9 heures 30","Lycée Étienne Bezout","MediumBlue",,
"46.986181","3.160356",,"Point",,"NEVERS","58","10 heures","Bourse du Travail","DarkTurquoise",1,
"43.697138","7.270401",,"Point",,"NICE","06","10 heures","Place Masséna","DarkTurquoise",1,
"43.839573","4.349642",,"Point",,"NÎMES","30","14 heures 30","Jardins de la Fontaine – Avenue Jean Jaurès","CornflowerBlue",1,
"46.323016","-0.458604",,"Point",,"NIORT","79","14 heures","Place de la Brèche","DarkTurquoise",1,
"48.31791","0.82",,"Point",,"NOGENT-LE-ROTROU","28","11 heures","Centre culturel Mendes-France","CornflowerBlue",,
"44.3601","5.1308",,"Point",,"NYONS","26","10 heures","Sous-Préfecture","Default",1,
"47.90147","1.909829",,"Point",,"ORLÉANS","45","10 heures","Cathédrale","CornflowerBlue",1,
"46.26120","5.64846",,"Point",,"OYONNAX","01","9 heures 30","Valexpo","Default",,
"43.11594","1.61063",,"Point",,"PAMIERS","09","10 heures 30","Place de la République","CornflowerBlue",,
"-17.54517","-149.58085",,"Point",,"PAPEETE","987","9 heures 30","Départ École To’ata","Default",,
"48.860685","2.313716",,"Point",,"PARIS","75","14 heures","Invalides","Paris",1,
"46.646961","-0.247659",,"Point",,"PARTHENAY","79","16 heures","Place du Drapeau","DarkTurquoise",1,
"43.29862","-0.375166",,"Point",,"PAU","64","10 heures 30","Place de Verdun","DarkTurquoise",1,
"45.18629","0.720849",,"Point",,"PÉRIGUEUX","24","10 heures 30","Palais de Justice","DarkTurquoise",1,
"42.698426","2.887983",,"Point",,"PERPIGNAN","66","10 heures 30","Place de Catalogne","CornflowerBlue",1,
"49.93001","2.9361",,"Point",,"PÉRONNE","80","18 heures 30","Hôtel de ville","Default",,
"48.188815","2.248002",,"Point",,"PITHIVIERS","45","10 heures 30","Rond-point Marie Curie","CornflowerBlue",1,
"47.929481","-2.396184",,"Point",,"PLOËRMEL","56","11 heures","Place de l'Hôtel de Ville","CornflowerBlue",1,
"16.243544","-61.532434",,"Point",,"POINTE-À-PITRE","971","9 heures","Palais de la mutualité","Default",,
"46.590345","0.340244",,"Point",,"POITIERS","86","14 heures","Porte de Paris","DarkTurquoise",1,
"49.35574","0.517548",,"Point",,"PONT-AUDEMER","27","10 heures","Place du Général de Gaulle ","DarkTurquoise",1,
"46.90413","6.35453",,"Point",,"PONTARLIER","25","12 heures","Place d’Arçon","DarkTurquoise",1,
"48.065433","-2.966716",,"Point",,"PONTIVY","56","10 heures","Place Aristide Briand","CornflowerBlue",1,
"41.59161","9.27909",,"Point",,"PORTO-VECCHIO","2A","10 heures","Mairie","Default",,
"44.735794","4.59987",,"Point",,"PRIVAS","07","10 heures","Préfecture","Default",1,
"47.993843","-4.104259",,"Point",,"QUIMPER","29","14 heures","Place de la Résistance","CornflowerBlue",1,
"47.874375","-3.553841",,"Point",,"QUIMPERLÉ","29","10 heures","Gare SNCF","CornflowerBlue",1,
"47.651728","-2.083666",,"Point",,"REDON","35","17 heures","Place de Bretagne","CornflowerBlue",1,
"49.937142","4.640656",,"Point",,"REVIN","08","14 heures","Rue Louise Weiss","CornflowerBlue",,
"49.254543","4.040523",,"Point",,"REIMS","51","10 heures","Maison des syndicats","CornflowerBlue",1,
"48.109258","-1.68403",,"Point",,"RENNES","35","11 heures","Place de Bretagne","CornflowerBlue",1,
"46.039302","4.063284",,"Point",,"ROANNE","42","10 heures","Devant l’Hôpital","Default",1,
"45.936617","-0.961475",,"Point",,"ROCHEFORT","17","10 heures 30","Place Colbert","DarkTurquoise",1,
"44.362234","2.580561",,"Point",,"RODEZ","12","14 heures","Gare SNCF","CornflowerBlue",1,
