"latitude","longitude","altitude","geometry","coordinates","name","dept","hour","description","_umap_options","code","nom"
"46.626243","5.22217",,"Point",,"LOUHANS","71","9 heures 30","Place de la Charité","DarkTurquoise",1,
"46.303544","4.834317",,"Point",,"MÂCON","71","14 heures 30","Esplanade Lamartine","DarkTurquoise",1,
"46.674324","4.362608",,"Point",,"MONCEAU-LES-MINES","71","14 heures 30","Place de la Mairie","DarkTurquoise",1,
"46.561649","4.912198",,"Point",,"TOURNUS","71","14 heures 30","Place de l’Hôtel de Ville","DarkTurquoise",1,
"48.007758","0.199047",,"Point",,"LE MANS","72","13 heures 30","Place des Jacobins","Default",1,
"45.672866","6.383421",,"Point",,"ALBERTVILLE","73","10 heures","Gare SNCF","Default",1,
"45.568141","5.919206",,"Point",,"CHAMBÉRY","73","14 heures","Place du palais de justice","Default",1,
"45.27942","6.346434",,"Point",,"SAINT-JEAN-DE-MAURIENNE","73","10 heures","Champ de Foire","Default",1,
"45.902254","6.128818",,"Point",,"ANNECY","74","14 heures","Préfecture","Default",1,
"46.193044","6.234119",,"Point",,"ANNEMASSE","74","17 heures","Place de l'Hôtel de Ville","Default",1,
"46.057846","6.580288",,"Point",,"CLUSES","74","16 heures","Place des Allobroges","Default",1,
"45.9363","6.630437",,"Point",,"SALLANCHES","74","17 heures","Quai de l’Hôtel de Ville","Default",1,
"46.370331","6.480421",,"Point",,"THONON-LES-BAINS","74","17 heures 30","Place des Arts","Default",1,
"48.8534","2.369276",,"Point",,"PARIS","75","14 heures","Bastille","Paris",1,
"49.92211","1.08071",,"Point",,"DIEPPE","76","10 heures 30","Place Pierre Semard <br> Gare SNCF","DarkTurquoise",1,
"49.29206","1.00713",,"Point",,"ELBEUF","76","17 heures","Hôtel de ville","DarkTurquoise",1,
"50.048416","1.419787",,"Point",,"EU","76","15 heures","Place Guillaume le Conquérant","DarkTurquoise",1,
"49.757905","0.385026",,"Point",,"FÉCAMP","76","14 heures 30","Espace Henri Dunant","DarkTurquoise",1,
"49.482353","1.723922",,"Point",,"GOURNAY-EN-BRAY","76","10 heures 30","Place Nationale","DarkTurquoise",1,
"49.497769","0.127437",,"Point",,"LE HAVRE","76","10 heures","Cercle Franklin","DarkTurquoise",1,
"49.521434","0.532719",,"Point",,"LILLEBONNE","76","14 heures 30","Mairie","DarkTurquoise",1,
"49.434356","1.088939",,"Point",,"ROUEN","76","10 heures","Cours Clémenceau","DarkTurquoise",1,
"46.837622","-0.494865",,"Point",,"BRESSUIRE","79","14 heures","Place Saint-Jacques","DarkTurquoise",1,
"46.323016","-0.458604",,"Point",,"NIORT","79","14 heures","Place de la Brèche","DarkTurquoise",1,
"46.646961","-0.247659",,"Point",,"PARTHENAY","79","16 heures","Place du Drapeau","DarkTurquoise",1,
"46.979418","-0.215735",,"Point",,"THOUARS","79","11 heures","Place Flandres Dunkerque","DarkTurquoise",1,
"50.106212","1.840478",,"Point",,"ABBEVILLE","80","10 heures","Boulevard Vauban","Default",1,
"49.894068","2.292323",,"Point",,"AMIENS","80","14 heures","Maison de la Culture","Default",1,
"43.92714","2.14789",,"Point",,"ALBI","81","14 heures 30","Place du Vigan","CornflowerBlue",1,
"43.604227","2.245787",,"Point",,"CASTRES","81","11 heures","Place Soult","CornflowerBlue",1,
"44.018113","1.357155",,"Point",,"MONTAUBAN","82","10 heures","Esplanade des Fontaines","CornflowerBlue",1,
"43.408937","6.061728",,"Point",,"BRIGNOLES","83","15 heures 30","Berges du Caramy","DarkTurquoise",1,
"43.53815","6.461602",,"Point",,"DRAGUIGNAN","83","10 heures 30","Sous-préfecture","DarkTurquoise",1,
"43.125998","5.930343",,"Point",,"TOULON","83","10 heures","Place de la Liberté","DarkTurquoise",1,
"43.947292","4.800175",,"Point",,"AVIGNON","84","10 heures","Porte Saint-Dominique","DarkTurquoise",1,
"46.848234","-1.876932",,"Point",,"CHALLANS","85","10 heures 30","Place du Champ de Foire","Default",1,
"46.467143","-0.809019",,"Point",,"FONTENAY-LE-COMTE","85","10 heures","Place de Verdun","Default",1,
